Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_I; M._goldiei_II),2.73086,2.62749,15421.3,15.9666,9.94408,6.02256,-0.50273,6666
(M._australis_I; M._goldiei_III),2.72483,2.62199,15355.9,13.5505,10.988,2.56249,-0.287213,6666
(M._australis_I; M._goldiei_I),2.73519,2.63182,15470,13.8738,9.73518,4.13865,-0.434384,6666
(M._australis_I; M._goldiei_IX),2.748,2.63863,15544.2,10.7555,6.15753,4.59798,-0.860512,6666
(M._australis_I; M._goldiei_X_AS),2.7349,2.62952,15440.9,7.12869,4.48439,2.6443,0.146669,6666
(M._australis_I; M._goldiei_V),2.72782,2.62173,15354.8,10.995,7.78268,3.21236,-0.357541,6666
(M._australis_I; M._goldiei_VI),2.73362,2.62485,15389.8,9.66906,5.90778,3.76128,0.0275445,6666
(M._australis_I; M._herbertaxelrodi_AS),2.73758,2.62943,15440.3,9.90294,3.95378,5.94917,0.0666695,6666
(M._australis_I; M._kamaka),2.71858,2.61642,15297.8,13.8672,10.99,2.87719,-0.56377,6666
(M._australis_I; M._lacustrisAS),2.71114,2.61097,15235.7,18.8307,14.2162,4.61447,0.399057,6666
(M._australis_I; M._lakamora),2.71774,2.61427,15272.2,11.4047,8.9873,2.41737,-0.486065,6666
(M._australis_I; M._monticola),2.70475,2.60644,15185.8,23.9764,17.732,6.24438,0.879402,6666
(M._australis_I; M._mubiensis),2.72704,2.62478,15383.7,14.4496,10.7893,3.66036,0.689954,6666
(M._australis_I; M._oktediensis),2.71754,2.61425,15272.6,16.413,11.3948,5.01823,-0.1354,6666
(M._australis_I; M._pierucciae),2.71814,2.61502,15280.8,12.2219,9.70488,2.51697,-0.488427,6666
(M._australis_I; M._trifasciata_IV),2.72667,2.6216,15352.7,13.7498,6.47876,7.27106,-1.14214,6666
(M._australis_I; M._trifasciata_III),2.74082,2.63511,15505.2,14.3709,8.24439,6.12655,-0.955322,6666
(M._australis_I; M._trifasciata_II),2.73356,2.62896,15418.1,12.3194,8.82678,3.49264,-0.598718,6658
(M._australis_I; M._goldiei_VII),2.733,2.62953,15444.3,17.2203,11.416,5.80423,-1.03123,6666
(M._australis_I; C._lorentzi_MT),2.08301,2.07146,10023.4,520.084,514.05,6.0334,0.793083,6672
(M._australis_I; C._lorentzi_S7),0.25578,0.19669,2199.37,4269.26,4265.77,3.48256,1.12428,6653
(M._australis_I; M._sp_Pianfon_MT),2.09415,2.08388,10129.9,516.435,508.223,8.21238,0.665554,6672
(M._australis_I; M._sp._Pianfon_S7),0.252236,0.191807,2182.42,4276.94,4274.49,2.44663,1.29235,6653
(M._australis_I; G._maculosus_AS),2.59338,2.48267,13779.3,9.39325,4.28365,5.1096,-1.46455,6641
(M._australis_I; G._ramuensis),2.59552,2.48307,13782.5,8.00452,4.92533,3.07919,-1.21926,6641
(M._australis_I; M._affinis_II),2.6081,2.4993,13975.3,12.2551,3.32428,8.93083,-0.90536,6652
(M._australis_I; M._affinis_I_AS),2.59174,2.48602,13836.1,8.41566,3.21825,5.19741,-0.0983752,6652
(M._australis_I; M._iris),2.60807,2.49471,13928.8,10.0979,4.24357,5.85431,-0.985583,6652
(M._australis_I; C._alleni),2.60723,2.5006,13970.9,1.09501,0.712619,0.382393,-0.257512,6650
(M._australis_I; C._axelrodi_AS),2.27691,2.22537,11321.7,439.849,438.733,1.11605,0.765592,6650
(M._australis_I; C._bleheri),2.61756,2.51227,14079,5.87406,1.47798,4.39608,-0.35413,6640
(M._australis_I; C._bulolo),2.58733,2.47405,13719.2,4.77592,4.35834,0.417578,-0.473239,6661
(M._australis_I; C._campsi),2.61904,2.51109,14069.5,6.0125,2.87629,3.13621,0.805037,6643
(M._australis_I; C._crassispinosa),2.58799,2.47502,13731,5.36455,4.06297,1.30159,-1.09212,6661
