
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S2; S7),2.40164,2.4026,192421,5.9518,4.28052,1.67127,0.0451231,100000
(S2; S8),2.27178,2.27147,171994,9.42508,7.21796,2.20712,-0.622502,100000
(S3; S4),2.466,2.46664,202814,2.84298,0.688738,2.15424,-1.24981,100000
(S3; S5),2.08439,2.08366,144724,4.44818,2.43744,2.01074,-1.33648,100000
(S3; S6),2.23472,2.23471,166470,6.52078,3.26893,3.25185,-1.72499,100000
(S3; S7),2.26932,2.27109,171933,4.19604,1.21889,2.97715,-1.36141,100000
(S3; S8),2.14979,2.15031,154132,6.29902,2.17336,4.12566,-0.956279,100000
(S4; S5),2.14126,2.14101,152803,9.38057,5.12611,4.25446,-1.64492,100000
(S4; S6),2.2954,2.29592,175713,7.1386,6.50862,0.629976,-0.636281,100000
(S4; S7),2.33324,2.33559,181837,2.1511,1.32959,0.821514,-0.865808,100000
(S4; S8),2.20883,2.20988,162791,5.42525,3.98387,1.44138,-0.757944,100000
(S5; S6),2.49799,2.49701,207837,2.1856,0.753765,1.43184,0.978467,100000
(S5; S7),2.33451,2.33544,181816,9.55763,5.49547,4.06216,-0.14415,100000
(S5; S8),2.20936,2.20904,162668,5.28549,1.50125,3.78424,-0.318635,100000
(S6; S7),2.49987,2.50173,208625,7.29225,5.95379,1.33846,0.261375,100000
(S6; S8),2.36585,2.36633,186652,4.93071,2.67641,2.2543,-0.371746,100000
(S7; S8),2.7584,2.76114,254132,11.3841,9.46003,1.9241,0.323857,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44831,2.44734,199654,7.70493,3.93133,3.7736,-0.434536,100000
(S1; S3),2.19289,2.19196,160161,6.08005,1.17086,4.90919,-1.92763,100000
(S1; S4),2.25467,2.25453,169439,4.85827,1.86411,2.99417,-1.32925,100000
(S1; S5),2.07974,2.0786,144024,8.27383,2.93751,5.33632,0.890147,100000
(S1; S6),2.22,2.21998,164281,5.27992,1.88408,3.39585,-0.190661,100000
(S1; S7),2.25257,2.25257,169140,8.01066,6.75602,1.25463,-0.00529152,100000
(S1; S8),2.13016,2.13088,151362,14.7742,11.7714,3.00282,-0.80759,100000
(S2; S3),2.3476,2.34654,183544,8.41078,3.23337,5.17741,-1.28557,100000
(S2; S4),2.41398,2.41378,194214,6.55724,1.91645,4.64079,-1.0849,100000
(S2; S5),2.22526,2.22396,164871,5.34288,0.984904,4.35798,0.0276169,100000
(S2; S6),2.37924,2.37915,188682,9.3395,3.83453,5.50497,0.0203396,100000
(S2; S7),2.41332,2.41324,194131,10.6647,8.66635,1.99834,-0.816244,100000
(S2; S8),2.28541,2.28609,174215,12.3409,10.603,1.73793,-1.21008,100000
(S3; S4),2.48166,2.48139,205246,5.82338,4.55743,1.26595,0.301658,100000
(S3; S5),2.1034,2.10212,147301,5.47604,1.32293,4.15311,1.94107,100000
(S3; S6),2.25104,2.25089,168889,5.77345,1.45075,4.3227,1.72833,100000
(S3; S7),2.28259,2.28245,173658,8.53028,3.15809,5.37219,1.57951,100000
(S3; S8),2.16209,2.16267,155913,11.4257,8.06601,3.35974,0.838786,100000
(S4; S5),2.16107,2.16056,155607,8.9735,3.29279,5.68071,1.91894,100000
(S4; S6),2.31289,2.3136,178428,4.9202,1.46309,3.4571,1.15217,100000
(S4; S7),2.34525,2.34597,183458,8.79833,6.89885,1.89948,1.14869,100000
(S4; S8),2.22145,2.22287,164713,9.52674,8.76447,0.76227,0.543399,100000
(S5; S6),2.50758,2.50709,209522,5.67892,5.22547,0.453455,-0.117767,100000
(S5; S7),2.34398,2.34352,183078,8.86741,5.21871,3.6487,-0.475062,100000
(S5; S8),2.22074,2.22106,164447,11.9112,8.39977,3.51146,-1.58831,100000
(S6; S7),2.51117,2.51205,210351,4.03428,3.20149,0.832782,0.0417498,100000
(S6; S8),2.37948,2.3811,188995,8.17422,6.76513,1.40909,-0.986849,100000
(S7; S8),2.76433,2.76624,255071,8.20367,6.93476,1.26891,-1.07029,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44526,2.4446,199203,1.20058,0.434811,0.765768,0.252562,100000
(S1; S3),2.19468,2.19471,160564,12.494,1.73422,10.7598,-2.80767,100000
(S1; S4),2.2589,2.25904,170114,6.45005,5.26555,1.1845,-0.687513,100000
(S1; S5),2.07904,2.07957,144156,4.1044,1.27829,2.82611,0.521876,100000
(S1; S6),2.22436,2.22519,165052,5.75667,5.34592,0.41075,0.555742,100000
(S1; S7),2.2579,2.25677,169768,1.2343,0.791512,0.44279,-0.0195072,100000
(S1; S8),2.13585,2.13463,151891,1.86543,1.75357,0.111863,-0.277145,100000
(S2; S3),2.35256,2.35246,184474,7.61415,1.15814,6.45601,-1.38272,100000
(S2; S4),2.42172,2.42173,195496,6.96559,4.46795,2.49764,-0.882829,100000
(S2; S5),2.22592,2.22638,165227,3.03498,1.89796,1.13702,-0.050582,100000
(S2; S6),2.38274,2.38349,189371,5.90678,5.69181,0.214976,0.186406,100000
(S2; S7),2.41916,2.41781,194862,2.77898,0.540689,2.23829,0.0665748,100000
(S2; S8),2.28888,2.28744,174416,3.63667,1.99577,1.6409,-0.450091,100000
(S3; S4),2.48099,2.4817,205299,4.58319,1.70418,2.87901,1.02209,100000
(S3; S5),2.11103,2.11206,148698,11.29,1.15359,10.1364,1.55854,100000
